FWHM_arcsec,Fiber_offset_arcsec,Percent_thru
5.000000000000000000e-01,-1.000000000000000000e+00,3.293763522296698554e+00
5.000000000000000000e-01,-9.000000000000000222e-01,6.454155259306086911e+00
5.000000000000000000e-01,-8.000000000000000444e-01,1.230964691128248134e+01
5.000000000000000000e-01,-6.999999999999999556e-01,2.190177705271005593e+01
5.000000000000000000e-01,-5.999999999999999778e-01,3.522284138543897569e+01
5.000000000000000000e-01,-5.000000000000000000e-01,5.045097804260029051e+01
5.000000000000000000e-01,-4.000000000000000222e-01,6.465636800366934267e+01
5.000000000000000000e-01,-2.999999999999999889e-01,7.560666540805503644e+01
5.000000000000000000e-01,-2.000000000000000111e-01,8.270863322827082698e+01
5.000000000000000000e-01,-1.000000000000000056e-01,8.649005072716455800e+01
5.000000000000000000e-01,0.000000000000000000e+00,8.765379707022941602e+01
5.000000000000000000e-01,1.000000000000000056e-01,8.649005072716455800e+01
5.000000000000000000e-01,2.000000000000000111e-01,8.270863322827082698e+01
5.000000000000000000e-01,2.999999999999999889e-01,7.560666540805503644e+01
5.000000000000000000e-01,4.000000000000000222e-01,6.465636800366934267e+01
5.000000000000000000e-01,5.000000000000000000e-01,5.045097804260029051e+01
5.000000000000000000e-01,5.999999999999999778e-01,3.522284138543896859e+01
5.000000000000000000e-01,6.999999999999999556e-01,2.190177705271005593e+01
5.000000000000000000e-01,8.000000000000000444e-01,1.230964691128248134e+01
5.000000000000000000e-01,9.000000000000000222e-01,6.454155259306087800e+00
5.000000000000000000e-01,1.000000000000000000e+00,3.293763522296697666e+00
